end_country,flights,month
AT,9135,201901
BS,8966,201901
MA,8545,201901
IE,8321,201901
FI,7045,201901
OM,7001,201901
ZA,6438,201901
RO,6077,201901
TH,5376,201901
IL,5096,201901
CZ,4349,201901
CL,4298,201901
HU,4293,201901
UA,4134,201901
BH,4045,201901
DZ,3604,201901
IR,3598,201901
EG,3439,201901
KZ,3349,201901
LK,3096,201901
IS,2751,201901
BO,2683,201901
CY,2398,201901
BG,2307,201901
CU,2278,201901
BY,2150,201901
LB,2140,201901
LV,2118,201901
LU,1924,201901
CO,1816,201901
LT,1780,201901
UZ,1666,201901
MT,1619,201901
HR,1579,201901
GE,1443,201901
BM,1195,201901
TN,1057,201901
BA,999,201901
SN,986,201901
KG,986,201901
UY,979,201901
LA,976,201901
RS,867,201901
MK,783,201901
SG,775,201901
EE,763,201901
AL,619,201901
KW,543,201901
XK,520,201901
AW,476,201901
VE,449,201901
PY,425,201901
JE,419,201901
IM,382,201901
SY,364,201901
SI,360,201901
PS,359,201901
CW,326,201901
MM,312,201901
BW,270,201901
VN,245,201901
MD,233,201901
GM,217,201901
GY,208,201901
GI,188,201901
JO,182,201901
GG,181,201901
SK,164,201901
IQ,158,201901
KP,149,201901
MZ,147,201901
PE,141,201901
TT,93,201901
GW,85,201901
NP,84,201901
CV,77,201901
AX,75,201901
MR,64,201901
TJ,63,201901
BQ,63,201901
GN,60,201901
NA,53,201901
ME,47,201901
LY,46,201901
BD,40,201901
GD,33,201901
PM,29,201901
BN,27,201901
LS,15,201901
ZW,14,201901
MN,10,201901
AZ,7,201901
PK,5,201901
MW,4,201901
DM,1,201901
SR,1,201901
US,1220914,201909
DE,104392,201909
CN,101089,201909
GB,98969,201909
AU,94460,201909
ES,79916,201909
IT,72282,201909
IN,72166,201909
FR,69788,201909
TR,68324,201909
RU,64962,201909
CA,60609,201909
JP,58804,201909
BR,49378,201909
TH,38423,201909
MY,36427,201909
KR,28432,201909
AE,28262,201909
GR,25598,201909
NO,22433,201909
SA,21784,201909
NL,21275,201909
HK,20985,201909
CH,20717,201909
NZ,20605,201909
TW,20124,201909
PH,20065,201909
SE,19263,201909
PL,17687,201909
PT,17089,201909
DK,16741,201909
BE,16372,201909
AT,14510,201909
ID,13635,201909
IE,13557,201909
QA,11413,201909
ZA,11025,201909
FI,10352,201909
AR,9949,201909
SG,9825,201909
VN,9054,201909
CZ,8376,201909
IL,7809,201909
RO,7002,201909
RS,6271,201909
HU,6052,201909
MA,5795,201909
UA,5769,201909
PE,5497,201909
HR,4989,201909
MX,4456,201909
KZ,4409,201909
LV,3858,201909
BH,3844,201909
PK,3640,201909
DZ,3382,201909
LU,2985,201909
CY,2825,201909
BG,2824,201909
MT,2795,201909
IR,2764,201909
TN,2748,201909
BY,2698,201909
BA,2661,201909
LT,2588,201909
OM,2161,201909
IS,2075,201909
BO,2017,201909
LB,1886,201909
EG,1739,201909
LA,1711,201909
UZ,1680,201909
EE,1518,201909
PF,1483,201909
BS,1448,201909
NP,1403,201909
AL,1317,201909
CR,1183,201909
BM,1060,201909
BB,1041,201909
SN,949,201909
SI,900,201909
JE,891,201909
TT,817,201909
EC,645,201909
GT,568,201909
SK,514,201909
ML,467,201909
LC,437,201909
PS,378,201909
KP,352,201909
VC,351,201909
KH,349,201909
UY,349,201909
BD,331,201909
GD,325,201909
GI,310,201909
GY,305,201909
GG,256,201909
VE,251,201909
KG,245,201909
XK,238,201909
BW,238,201909
ME,231,201909
DM,215,201909
MD,196,201909
LK,186,201909
MM,184,201909
LS,156,201909
SZ,135,201909
AX,120,201909
IM,113,201909
JO,100,201909
SY,95,201909
LY,92,201909
CO,88,201909
GM,87,201909
GW,82,201909
MK,78,201909
MR,74,201909
AZ,64,201909
GN,53,201909
BN,53,201909
KW,52,201909
PY,51,201909
PM,40,201909
NI,38,201909
MQ,34,201909
TJ,28,201909
GP,18,201909
CV,16,201909
NC,8,201909
IQ,4,201909
FO,4,201909
MN,3,201909
GE,3,201909
US,558964,202004
CN,39968,202004
AU,35110,202004
JP,22760,202004
CA,19329,202004
DE,18840,202004
RU,11261,202004
GB,11102,202004
KR,9880,202004
BR,6697,202004
NO,6381,202004
TW,6328,202004
FR,6060,202004
HK,5622,202004
IT,5113,202004
NL,4287,202004
AE,4038,202004
ES,3657,202004
QA,3432,202004
MX,3388,202004
SE,3093,202004
ID,2998,202004
DK,2893,202004
TR,2783,202004
CH,2688,202004
SA,2559,202004
TH,2454,202004
PL,2407,202004
BE,2380,202004
MY,2368,202004
SG,2262,202004
NZ,2212,202004
IN,2150,202004
CZ,1724,202004
IE,1619,202004
GR,1568,202004
FI,1423,202004
PH,1397,202004
AT,1369,202004
KZ,1218,202004
VN,1170,202004
CO,1130,202004
PT,837,202004
PR,836,202004
BH,832,202004
RO,797,202004
HU,750,202004
PE,715,202004
LU,602,202004
IR,537,202004
IL,483,202004
AR,450,202004
LT,443,202004
DZ,395,202004
IS,390,202004
CY,365,202004
ZA,342,202004
UA,312,202004
BY,306,202004
RS,257,202004
EE,257,202004
GE,248,202004
MT,246,202004
BD,242,202004
HR,235,202004
BG,232,202004
SI,223,202004
MA,219,202004
SK,217,202004
BS,214,202004
DO,207,202004
CU,197,202004
LV,192,202004
SN,187,202004
CR,150,202004
OM,140,202004
PK,135,202004
KP,120,202004
PF,108,202004
UZ,106,202004
LK,106,202004
AM,104,202004
BM,84,202004
TN,83,202004
BA,77,202004
BO,69,202004
BB,61,202004
JE,53,202004
LB,46,202004
VE,45,202004
AX,44,202004
LA,39,202004
UY,38,202004
VI,37,202004
